time,Dendrite passive:1,Input signal,Gain:1,Na prefilter:1,Pulse,Dendrite NL,Soma NL prefilter out,Soma after passive,Vs,Soma input,Input + Vs,Vd,Integrator1:1,Spike Output
0,0,0,0,0,0,0.036564157,0,0,0,0,0,0.036564157,0,0
0.000200951,2.61035E-09,0.0002598,0.000519601,1.7402E-08,0,0.036564158,2.91412E-14,8.70123E-10,8.70123E-10,0.000259803,0.000519601,0.036564161,0,0
0.001205705,9.39714E-08,0.001558802,0.003117604,6.26405E-07,0,0.036564215,6.29382E-12,3.13251E-08,3.13251E-08,0.001558896,0.003117629,0.036564309,0,0
0.006229478,2.50836E-06,0.008053811,0.016107622,1.67126E-05,0,0.036565717,8.6758E-10,8.363E-07,8.363E-07,0.00805632,0.016108291,0.036568226,0,0
0.016229478,1.70233E-05,0.020982359,0.041964719,0.000113315,0,0.036574739,1.53249E-08,5.67759E-06,5.67759E-06,0.020999383,0.041969261,0.036591763,0,0
0.026229478,4.4459E-05,0.033910908,0.067821816,0.000295661,0,0.036591775,6.46225E-08,1.48331E-05,1.48331E-05,0.033955367,0.067833682,0.036636234,0,0
0.036229478,8.48109E-05,0.046839456,0.093678912,0.000563477,0,0.03661681,1.70111E-07,2.83056E-05,2.83056E-05,0.046924267,0.093701557,0.036701621,0,0
0.046229478,0.000138074,0.059768004,0.119536009,0.00091649,0,0.036649836,3.53048E-07,4.6098E-05,4.6098E-05,0.059906079,0.119572887,0.03678791,0,0
0.056229478,0.000204244,0.072696553,0.145393105,0.001354429,0,0.036690847,6.346E-07,6.82132E-05,6.82132E-05,0.072900797,0.145447676,0.036895091,0,0
0.066229478,0.000283316,0.085625101,0.171250202,0.001877022,0,0.036739844,1.03584E-06,9.4654E-05,9.4654E-05,0.085908417,0.171325925,0.03702316,0,0
0.076229478,0.000375285,0.098553649,0.197107298,0.002483999,0,0.036796835,1.57776E-06,0.000125423,0.000125423,0.098928934,0.197207637,0.03717212,0,0
0.086229478,0.000480147,0.111482198,0.222964395,0.00317509,0,0.03686183,2.28125E-06,0.000160524,0.000160524,0.111962344,0.223092814,0.037341977,0,0
0.096229478,0.000597896,0.124410746,0.248821492,0.003950027,0,0.036934845,3.16711E-06,0.000199959,0.000199959,0.125008642,0.248981459,0.037532741,0,0
0.106229478,0.000728287,0.136553716,0.273107432,0.004806931,0,0.037015749,4.25598E-06,0.00024365,0.00024365,0.137282003,0.273302352,0.037744036,0,0
0.116229478,0.000870382,0.148221199,0.296442398,0.005739337,0,0.037103981,5.56723E-06,0.00029129,0.00029129,0.149091581,0.29667543,0.037974362,0,0
0.126229478,0.00102409,0.159888682,0.319777364,0.006746426,0,0.037199512,7.11934E-06,0.000342851,0.000342851,0.160912772,0.320051644,0.038223603,0,0
0.136229478,0.001189408,0.171556165,0.343112329,0.007827959,0,0.037302377,8.93066E-06,0.000398337,0.000398337,0.172745573,0.343430999,0.038491785,0,0
0.146229478,0.001366331,0.183223647,0.366447295,0.0089837,0,0.037412609,1.10195E-05,0.00045775,0.00045775,0.184589978,0.366813495,0.03877894,0,0
0.156229478,0.001554854,0.19489113,0.38978226,0.010213412,0,0.03753025,1.3404E-05,0.000521093,0.000521093,0.196445984,0.390199135,0.039085104,0,0
0.166229478,0.001754973,0.206558613,0.413117226,0.01151686,0,0.037655343,1.61024E-05,0.000588368,0.000588368,0.208313587,0.41358792,0.039410317,0,0
0.176229478,0.001966685,0.218226096,0.436452192,0.012893808,0,0.037787938,1.91327E-05,0.000659577,0.000659577,0.220192781,0.436979853,0.039754623,0,0
0.186229478,0.002189985,0.229893579,0.459787157,0.014344022,0,0.037928086,2.25128E-05,0.000734724,0.000734724,0.232083564,0.460374936,0.040118072,0,0
0.196229478,0.002424869,0.241561061,0.483122123,0.01586727,0,0.038075845,2.62607E-05,0.00081381,0.00081381,0.24398593,0.483773171,0.040500714,0,0
0.206229478,0.002671108,0.252500436,0.505000872,0.017461823,0,0.038231129,3.03942E-05,0.000896765,0.000896765,0.255171544,0.505718284,0.040902237,0,0
0.216229478,0.002927834,0.262999108,0.525998215,0.019121706,0,0.03839344,3.49297E-05,0.000983301,0.000983301,0.265926942,0.526784856,0.041321274,0,0
0.226229478,0.003194964,0.273497779,0.546995558,0.020846175,0,0.038562786,3.98831E-05,0.001073394,0.001073394,0.276692743,0.547854274,0.04175775,0,0
0.236229478,0.003472492,0.283996451,0.567992902,0.022635025,0,0.038739234,4.527E-05,0.001167048,0.001167048,0.287468943,0.56892654,0.042211726,0,0
0.246229478,0.003760416,0.294495123,0.588990245,0.024488051,0,0.038922852,5.11061E-05,0.001264263,0.001264263,0.298255539,0.590001656,0.042683268,0,0
0.256229478,0.004058732,0.304993794,0.609987588,0.026405048,0,0.039113712,5.74068E-05,0.001365043,0.001365043,0.309052526,0.611079623,0.043172445,0,0
0.266229478,0.004367436,0.315492466,0.630984932,0.028385814,0,0.039311892,6.41876E-05,0.001469389,0.001469389,0.319859902,0.632160443,0.043679328,0,0
0.276229478,0.004686524,0.325991138,0.651982275,0.030430145,0,0.039517471,7.14639E-05,0.001577304,0.001577304,0.330677662,0.653244118,0.044203995,0,0
0.286229478,0.005015992,0.336489809,0.672979618,0.032537839,0,0.039730532,7.92511E-05,0.00168879,0.00168879,0.341505802,0.67433065,0.044746524,0,0
0.296229478,0.005355837,0.346988481,0.693976962,0.034708696,0,0.039951163,8.75644E-05,0.001803849,0.001803849,0.352344318,0.695420041,0.045307,0,0
0.306229478,0.005705848,0.356812777,0.713625553,0.036941131,0,0.040179312,9.64189E-05,0.001922415,0.001922415,0.362518624,0.715163486,0.04588516,0,0
0.316229478,0.006065219,0.366228893,0.732457785,0.039229622,0,0.040414525,0.000105829,0.002044223,0.002044223,0.372294112,0.734093163,0.046479744,0,0
0.326229478,0.006433874,0.375645008,0.751290017,0.041573496,0,0.040656837,0.000115807,0.002169249,0.002169249,0.382078883,0.753025416,0.047090712,0,0
0.336229478,0.00681181,0.385061124,0.770122248,0.043972576,0,0.040906341,0.000126368,0.002297496,0.002297496,0.391872934,0.771960245,0.047718151,0,0
0.346229478,0.007199022,0.39447724,0.78895448,0.046426688,0,0.04116313,0.000137523,0.002428967,0.002428967,0.401676262,0.790897653,0.048362152,0,0
0.356229478,0.007595507,0.403893356,0.807786711,0.048935658,0,0.041427303,0.000149286,0.002563662,0.002563662,0.411488863,0.809837641,0.04902281,0,0
0.366229478,0.008001263,0.413309471,0.826618943,0.05149931,0,0.041698959,0.000161671,0.002701584,0.002701584,0.421310734,0.82878021,0.049700222,0,0
0.376229478,0.008416285,0.422725587,0.845451175,0.054117473,0,0.041978205,0.00017469,0.002842735,0.002842735,0.431141872,0.847725363,0.05039449,0,0
0.386229478,0.008840571,0.432141703,0.864283406,0.056789972,0,0.042265147,0.000188356,0.002987118,0.002987118,0.440982274,0.8666731,0.051105718,0,0
0.396229478,0.009274116,0.441557819,0.883115638,0.059516636,0,0.042559897,0.000202682,0.003134733,0.003134733,0.450831935,0.885623424,0.051834013,0,0
0.406229478,0.009716727,0.450349782,0.900699564,0.062296012,0,0.04286243,0.000217681,0.003285519,0.003285519,0.460066509,0.903327979,0.052579157,0,0
0.416229478,0.010167658,0.458763964,0.917527928,0.065123005,0,0.04317232,0.000233364,0.003439231,0.003439231,0.468931621,0.920279313,0.053339978,0,0
