time,Dendrite passive:1,Input signal,Gain:1,Na prefilter:1,Pulse,Dendrite NL,Soma NL prefilter out,Soma after passive,Vs,Soma input,Input + Vs,Vd,Integrator1:1,Spike Output
0,0,0,0,0,0,0.036564157,0,0,0,0,0,0.036564157,0,0
0.000200951,1.43569E-09,0.0002598,0.00028578,9.57111E-09,0,0.036564158,2.91412E-14,8.7012E-10,8.7012E-10,0.000259802,0.000285781,0.036564159,0,0
0.001205705,5.16845E-08,0.001558802,0.001714682,3.44524E-07,0,0.036564189,6.29373E-12,3.13245E-08,3.13245E-08,0.001558854,0.001714707,0.036564241,0,0
0.006229478,1.37963E-06,0.008053811,0.008859192,9.19212E-06,0,0.036565015,8.67519E-10,8.36222E-07,8.36222E-07,0.008055191,0.008859861,0.036566395,0,0
0.016229478,9.36335E-06,0.020982359,0.023080595,6.23268E-05,0,0.036569977,1.53221E-08,5.67621E-06,5.67621E-06,0.020991723,0.023085136,0.036579341,0,0
0.026229478,2.44548E-05,0.033910908,0.037301999,0.000162629,0,0.036579346,6.46034E-08,1.48272E-05,1.48272E-05,0.033935363,0.03731386,0.036603801,0,0
0.036229478,4.66521E-05,0.046839456,0.051523402,0.000309953,0,0.036593111,1.70041E-07,2.82902E-05,2.82902E-05,0.046886108,0.051546034,0.036639763,0,0
0.046229478,7.59536E-05,0.059768004,0.065744805,0.000504155,0,0.036611264,3.52864E-07,4.60661E-05,4.60661E-05,0.059843958,0.065781658,0.036687217,0,0
0.056229478,0.000112357,0.072696553,0.079966208,0.000745088,0,0.036633797,6.34199E-07,6.81558E-05,6.81558E-05,0.07280891,0.080020733,0.036746154,0,0
0.066229478,0.000155861,0.085625101,0.094187611,0.001032611,0,0.036660705,1.03507E-06,9.45602E-05,9.45602E-05,0.085780962,0.094263259,0.036816567,0,0
0.076229478,0.000206464,0.098553649,0.108409014,0.001366578,0,0.036691985,1.57641E-06,0.00012528,0.00012528,0.098760113,0.108509238,0.036898449,0,0
0.086229478,0.000264164,0.111482198,0.122630417,0.001746848,0,0.036727633,2.27904E-06,0.000160317,0.000160317,0.111746361,0.122758671,0.036991797,0,0
0.096229478,0.000328958,0.124410746,0.13685182,0.002173276,0,0.03676765,3.16368E-06,0.000199671,0.000199671,0.124739704,0.137011558,0.037096608,0,0
0.106229478,0.000400712,0.136553716,0.150209088,0.002644835,0,0.036811951,4.2509E-06,0.000243263,0.000243263,0.136954429,0.150403698,0.037212663,0,0
0.116229478,0.000478913,0.148221199,0.163043319,0.003157974,0,0.036860219,5.55996E-06,0.000290783,0.000290783,0.148700111,0.163275946,0.037339131,0,0
0.126229478,0.000563509,0.159888682,0.17587755,0.003712246,0,0.036912426,7.10923E-06,0.000342203,0.000342203,0.160452191,0.176151313,0.037475935,0,0
0.136229478,0.0006545,0.171556165,0.188711781,0.004307526,0,0.036968577,8.91697E-06,0.000397524,0.000397524,0.172210664,0.1890298,0.037623076,0,0
0.146229478,0.000751884,0.183223647,0.201546012,0.004943686,0,0.037028677,1.10013E-05,0.000456746,0.000456746,0.183975531,0.201911409,0.03778056,0,0
0.156229478,0.000855659,0.19489113,0.214380243,0.005620602,0,0.037092733,1.33804E-05,0.00051987,0.00051987,0.195746789,0.214796139,0.037948392,0,0
0.166229478,0.000965824,0.206558613,0.227214474,0.006338148,0,0.037160754,1.60722E-05,0.000586897,0.000586897,0.207524437,0.227683992,0.038126578,0,0
0.176229478,0.001082376,0.218226096,0.240048705,0.007096199,0,0.037232749,1.90946E-05,0.000657828,0.000657828,0.219308472,0.240574968,0.038315125,0,0
0.186229478,0.001205316,0.229893579,0.252882937,0.007894632,0,0.037308727,2.24655E-05,0.000732665,0.000732665,0.231098894,0.253469068,0.038514043,0,0
0.196229478,0.00133464,0.241561061,0.265717168,0.008733321,0,0.037388701,2.62025E-05,0.000811406,0.000811406,0.242895701,0.266366293,0.038723341,0,0
0.206229478,0.001470223,0.252500436,0.277750479,0.009611322,0,0.037472605,3.03233E-05,0.00089398,0.00089398,0.253970659,0.278465663,0.038942828,0,0
0.216229478,0.00161159,0.262999108,0.289299018,0.010525351,0,0.03756015,3.48443E-05,0.000980097,0.000980097,0.264610698,0.290083096,0.03917174,0,0
0.226229478,0.001758694,0.273497779,0.300847557,0.011475004,0,0.03765132,3.9781E-05,0.001069734,0.001069734,0.275256474,0.301703344,0.039410014,0,0
0.236229478,0.001911534,0.283996451,0.312396096,0.01246017,0,0.037746131,4.5149E-05,0.001162889,0.001162889,0.285907985,0.313326407,0.039657665,0,0
0.246229478,0.002070109,0.294495123,0.323944635,0.013480742,0,0.037844597,5.09635E-05,0.001259564,0.001259564,0.296565231,0.324952286,0.039914706,0,0
0.256229478,0.002234416,0.304993794,0.335493174,0.014536611,0,0.037946737,5.72401E-05,0.001359759,0.001359759,0.30722821,0.336580981,0.040181153,0,0
0.266229478,0.002404455,0.315492466,0.347041712,0.015627669,0,0.038052566,6.39938E-05,0.001463476,0.001463476,0.317896921,0.348212494,0.04045702,0,0
0.276229478,0.002580224,0.325991138,0.358590251,0.016753807,0,0.038162103,7.12399E-05,0.001570715,0.001570715,0.328571361,0.359846824,0.040742326,0,0
0.286229478,0.002761721,0.336489809,0.37013879,0.01791492,0,0.038275368,7.89936E-05,0.001681477,0.001681477,0.33925153,0.371483972,0.041037089,0,0
0.296229478,0.002948945,0.346988481,0.381687329,0.019110899,0,0.038392381,8.72698E-05,0.001795762,0.001795762,0.349937426,0.383123939,0.041341326,0,0
0.306229478,0.003141781,0.356812777,0.392494054,0.020340877,0,0.038513088,9.60834E-05,0.001913503,0.001913503,0.359954558,0.394024856,0.04165487,0,0
0.316229478,0.003339787,0.366228893,0.402851782,0.02160182,0,0.038637224,0.000105448,0.002034432,0.002034432,0.369568679,0.404479327,0.041977011,0,0
0.326229478,0.00354292,0.375645008,0.413209509,0.022893362,0,0.038764781,0.000115378,0.002158526,0.002158526,0.379187929,0.41493633,0.042307701,0,0
0.336229478,0.00375118,0.385061124,0.423567237,0.024215409,0,0.038895781,0.000125884,0.002285785,0.002285785,0.388812304,0.425395864,0.042646961,0,0
0.346229478,0.003964565,0.39447724,0.433924964,0.025567867,0,0.039030247,0.000136981,0.00241621,0.00241621,0.398441804,0.435857932,0.042994812,0,0
0.356229478,0.004183073,0.403893356,0.444282691,0.026950645,0,0.039168202,0.000148681,0.002549802,0.002549802,0.408076429,0.446322533,0.043351275,0,0
0.366229478,0.004406704,0.413309471,0.454640419,0.028363649,0,0.039309669,0.000160996,0.002686561,0.002686561,0.417716175,0.456789668,0.043716373,0,0
0.376229478,0.004635455,0.422725587,0.464998146,0.029806788,0,0.039454674,0.000173941,0.002826489,0.002826489,0.427361043,0.467259337,0.044090129,0,0
0.386229478,0.004869327,0.432141703,0.475355873,0.031279969,0,0.039603241,0.000187526,0.002969585,0.002969585,0.43701103,0.477731541,0.044472568,0,0
0.396229478,0.005108317,0.441557819,0.485713601,0.032783101,0,0.039755398,0.000201765,0.00311585,0.00311585,0.446666136,0.488206281,0.044863716,0,0
0.406229478,0.005352319,0.450349782,0.49538476,0.034315389,0,0.0399111,0.000216671,0.003265221,0.003265221,0.455702101,0.497996937,0.045263419,0,0
0.416229478,0.005600923,0.458763964,0.50464036,0.035874032,0,0.040070097,0.000232254,0.003417452,0.003417452,0.464364887,0.507374322,0.045671021,0,0
0.426229478,0.005854092,0.467178146,0.51389596,0.037458697,0,0.04023239,0.000248527,0.003572519,0.003572519,0.473032238,0.516753976,0.046086482,0,0
0.436229478,0.006111823,0.475592328,0.52315156,0.039069307,0,0.040398003,0.000265498,0.003730425,0.003730425,0.48170415,0.5261359,0.046509826,0,0
0.446229478,0.006374116,0.484006509,0.53240716,0.040705782,0,0.040566965,0.000283179,0.003891169,0.003891169,0.490380625,0.535520095,0.046941081,0,0
0.456229478,0.006640968,0.492420691,0.54166276,0.042368043,0,0.040739303,0.000301581,0.004054751,0.004054751,0.49906166,0.544906562,0.047380272,0,0
0.466229478,0.006912381,0.500834873,0.55091836,0.044056013,0,0.040915046,0.000320715,0.004221174,0.004221174,0.507747254,0.554295299,0.047827426,0,0
0.476229478,0.007188351,0.509249055,0.56017396,0.045769612,0,0.041094221,0.000340589,0.004390436,0.004390436,0.516437406,0.563686309,0.048282572,0,0
0.486229478,0.007468878,0.517663237,0.569429561,0.047508765,0,0.041276859,0.000361217,0.004562538,0.004562538,0.525132115,0.573079591,0.048745737,0,0
0.496229478,0.007753961,0.526077419,0.578685161,0.049273392,0,0.041462991,0.000382606,0.004737482,0.004737482,0.53383138,0.582475146,0.049216952,0,0
0.506229478,0.008043501,0.533914376,0.587305814,0.051062766,0,0.041652577,0.000404769,0.004915209,0.004915209,0.541957878,0.591237981,0.049696079,0,0
0.516229478,0.00833712,0.541401957,0.595542153,0.052874304,0,0.041845383,0.000427714,0.00509549,0.00509549,0.549739078,0.599618545,0.050182503,0,0
0.526229478,0.008634782,0.548889538,0.603778492,0.054707705,0,0.042041412,0.000451449,0.005278304,0.005278304,0.55752432,0.608001135,0.050676194,0,0
0.536229478,0.008936486,0.556377119,0.612014831,0.056562905,0,0.042240692,0.000475985,0.005463654,0.005463654,0.565313605,0.616385754,0.051177178,0,0
0.546229478,0.009242231,0.5638647,0.62025117,0.058439836,0,0.042443255,0.000501329,0.005651538,0.005651538,0.573106931,0.6247724,0.051685486,0,0
0.556229478,0.009552016,0.57135228,0.628487508,0.060338433,0,0.042649129,0.00052749,0.005841958,0.005841958,0.580904297,0.633161075,0.052201145,0,0
0.566229478,0.00986584,0.578839861,0.636723847,0.062258632,0,0.042858347,0.000554476,0.006034913,0.006034913,0.588705701,0.641551778,0.052724187,0,0
0.576229478,0.010183702,0.586327442,0.644960186,0.064200366,0,0.04307094,0.000582297,0.006230405,0.006230405,0.596511144,0.64994451,0.053254642,0,0
0.586229478,0.010505601,0.593815023,0.653196525,0.066163571,0,0.04328694,0.00061096,0.006428434,0.006428434,0.604320623,0.658339272,0.053792541,0,0
0.596229478,0.010831535,0.601302604,0.661432864,0.068148182,0,0.043506381,0.000640475,0.006629,0.006629,0.612134139,0.666736064,0.054337916,0,0
0.606229478,0.011161414,0.608256796,0.669082476,0.070153533,0,0.043729227,0.000670848,0.006832049,0.006832049,0.61941821,0.674548115,0.054890642,0,0
0.616229478,0.011494889,0.614888144,0.676376958,0.072177245,0,0.043955254,0.000702089,0.007037371,0.007037371,0.626383033,0.682006855,0.055450143,0,0
0.626229478,0.011831926,0.621519492,0.683671441,0.074219046,0,0.044184468,0.000734203,0.007244946,0.007244946,0.633351418,0.689467398,0.056016394,0,0
0.636229478,0.012172524,0.628150839,0.690965923,0.076278882,0,0.044416899,0.000767199,0.007454776,0.007454776,0.640323364,0.696929744,0.056589424,0,0
0.646229478,0.012516683,0.634782187,0.698260406,0.0783567,0,0.04465258,0.000801082,0.007666859,0.007666859,0.64729887,0.704393893,0.057169263,0,0
0.656229478,0.012864401,0.641413535,0.705554888,0.080452446,0,0.044891541,0.000835859,0.007881197,0.007881197,0.654277936,0.711859846,0.057755942,0,0
0.666229478,0.013215678,0.648044883,0.712849371,0.082566065,0,0.045133816,0.000871537,0.00809779,0.00809779,0.661260561,0.719327603,0.058349494,0,0
0.676229478,0.013570513,0.654676231,0.720143854,0.084697505,0,0.045379438,0.000908124,0.008316639,0.008316639,0.668246743,0.726797165,0.05894995,0,0
0.686229478,0.013928904,0.661307578,0.727438336,0.086846712,0,0.045628439,0.000945625,0.008537744,0.008537744,0.675236483,0.734268531,0.059557343,0,0
0.696229478,0.014290852,0.667938926,0.734732819,0.089013633,0,0.045880855,0.000984047,0.008761105,0.008761105,0.682229778,0.741741703,0.060171707,0,0
0.706229478,0.014656272,0.674077818,0.7414856,0.091197659,0,0.046136653,0.001023397,0.008986672,0.008986672,0.68873409,0.748674938,0.060792925,0,0
0.716229478,0.015024841,0.679918641,0.747910505,0.0933966,0,0.046395617,0.001063681,0.009214252,0.009214252,0.694943482,0.755281907,0.061420458,0,0
0.726229478,0.015396528,0.685759464,0.754335411,0.095610213,0,0.046657754,0.001104905,0.009443825,0.009443825,0.701155993,0.761890471,0.062054283,0,0
0.736229478,0.015771334,0.691600287,0.760760316,0.097838454,0,0.046923095,0.001147072,0.009675393,0.009675393,0.707371621,0.768500631,0.06269443,0,0
0.746229478,0.016149257,0.69744111,0.767185221,0.100081279,0,0.047191673,0.00119019,0.009908956,0.009908956,0.713590368,0.775112386,0.06334093,0,0
0.756229478,0.016530297,0.703281933,0.773610127,0.102338647,0,0.047463519,0.001234262,0.010144515,0.010144515,0.71981223,0.781725738,0.063993816,0,0
0.766229478,0.016914453,0.709122756,0.780035032,0.104610512,0,0.047738666,0.001279294,0.010382068,0.010382068,0.726037209,0.788340686,0.064653119,0,0
0.776229478,0.017301723,0.714963579,0.786459937,0.106896834,0,0.048017149,0.001325291,0.010621618,0.010621618,0.732265302,0.794957232,0.065318872,0,0
0.786229478,0.017692108,0.720804402,0.792884842,0.109197567,0,0.048299,0.001372259,0.010863164,0.010863164,0.73849651,0.801575374,0.065991108,0,0
0.796229478,0.018085606,0.726645225,0.799309748,0.111512671,0,0.048584254,0.001420202,0.011106707,0.011106707,0.744730831,0.808195113,0.06666986,0,0
0.806229478,0.01848214,0.732031801,0.805234981,0.11384159,0,0.048872882,0.001469126,0.0113522,0.0113522,0.750513941,0.814316742,0.067355022,0,0
0.816229478,0.018881413,0.737143435,0.810857779,0.11618231,0,0.049164671,0.001519034,0.011599465,0.011599465,0.756024848,0.820137351,0.068046084,0,0
0.826229478,0.019283396,0.742255069,0.816480576,0.118534612,0,0.04945963,0.001569931,0.011848484,0.011848484,0.761538465,0.825959363,0.068743026,0,0
0.836229478,0.019688089,0.747366703,0.822103373,0.120898464,0,0.049757789,0.001621821,0.012099258,0.012099258,0.767054791,0.83178278,0.069445878,0,0
