time,Dendrite passive:1,Input signal,Input,Na prefilter:1,Dendrite NL,Soma NL prefilter out,Soma after passive,Vs,Input + Vs,Vd,Gain1:1,Integrator1:1,Spike Output
0,0,0,0,0,0.036564157,0,0,0,0,0.036564157,1,0,0
0.005495844,1.26974E-06,0.007105329,0.009236928,8.46053E-06,0.036564947,9.19439E-09,6.69788E-06,6.69788E-06,0.009242286,0.036566217,0.99451923,0,0
0.015495844,1.00926E-05,0.020033877,0.02604404,6.71857E-05,0.036570431,7.29695E-08,1.88844E-05,1.88844E-05,0.026059148,0.036580524,0.984623598,0,0
0.025495844,2.73174E-05,0.032962426,0.042851153,0.000181678,0.036581125,1.97212E-07,3.10738E-05,3.10738E-05,0.042876012,0.036608443,0.97482643,0,0
0.035495844,5.29399E-05,0.045890974,0.059658266,0.000351753,0.036597017,3.81648E-07,4.32708E-05,4.32708E-05,0.059692883,0.036649957,0.965126745,0,0
0.045495844,8.69559E-05,0.058819522,0.076465379,0.000577224,0.036618096,6.26024E-07,5.54798E-05,5.54798E-05,0.076509763,0.036705052,0.955523573,0,0
0.055495844,0.000129361,0.07174807,0.093272492,0.000857908,0.036644353,9.30113E-07,6.77053E-05,6.77053E-05,0.093326656,0.036773714,0.946015955,0,0
0.065495844,0.000180152,0.084676619,0.110079604,0.001193621,0.036675782,1.29371E-06,7.9952E-05,7.9952E-05,0.110143566,0.036855934,0.936602939,0,0
0.075495844,0.000239323,0.097605167,0.126886717,0.00158418,0.03671238,1.71664E-06,9.22242E-05,9.22242E-05,0.126960496,0.036951703,0.927283584,0,0
0.085495844,0.000306872,0.110533715,0.14369383,0.002029403,0.036754144,2.19874E-06,0.000104526,0.000104526,0.143777451,0.037061015,0.918056958,0,0
0.095495844,0.000382793,0.123462264,0.160500943,0.002529107,0.036801074,2.73988E-06,0.000116863,0.000116863,0.160594433,0.037183866,0.908922139,0,0
0.105495844,0.000466952,0.13569775,0.176407075,0.003082247,0.036853092,3.33994E-06,0.000129239,0.000129239,0.176510466,0.037320044,0.899878212,0,0
0.115495844,0.000558746,0.147365233,0.191574803,0.003684647,0.036909824,3.99884E-06,0.000141659,0.000141659,0.191688129,0.03746857,0.890924275,0,0
0.125495844,0.00065808,0.159032716,0.20674253,0.00433555,0.036971222,4.71652E-06,0.000154125,0.000154125,0.20686583,0.037629302,0.88205943,0,0
0.135495844,0.000764952,0.170700198,0.221910258,0.005034795,0.037037292,5.49292E-06,0.000166643,0.000166643,0.222043573,0.037802244,0.873282792,0,0
0.145495844,0.000879358,0.182367681,0.237077986,0.005782222,0.037108044,6.32802E-06,0.000179217,0.000179217,0.237221359,0.037987401,0.864593483,0,0
0.155495844,0.001001293,0.194035164,0.252245713,0.00657767,0.037183487,7.22181E-06,0.00019185,0.00019185,0.252399193,0.03818478,0.855990634,0,0
0.165495844,0.001130754,0.205702647,0.267413441,0.007420979,0.037263636,8.17431E-06,0.000204547,0.000204547,0.267577078,0.03839439,0.847473385,0,0
0.175495844,0.001267738,0.21737013,0.282581169,0.008311991,0.037348504,9.18555E-06,0.000217311,0.000217311,0.282755018,0.038616242,0.839040884,0,0
0.185495844,0.00141224,0.229037612,0.297748896,0.009250546,0.037438106,1.02556E-05,0.000230148,0.000230148,0.297933014,0.038850346,0.830692288,0,0
0.195495844,0.001564258,0.240705095,0.312916624,0.010236488,0.037532461,1.13845E-05,0.00024306,0.00024306,0.313111071,0.039096719,0.822426761,0,0
0.205495844,0.001723666,0.251730218,0.327249283,0.011268857,0.037631511,1.25724E-05,0.000256051,0.000256051,0.327454124,0.039355176,0.814243478,0,0
0.215495844,0.001889904,0.262228889,0.340897556,0.012343792,0.037734919,1.38193E-05,0.000269127,0.000269127,0.341112858,0.039624823,0.80614162,0,0
0.225495844,0.002062888,0.272727561,0.354545829,0.013460604,0.037842652,1.51255E-05,0.00028229,0.00028229,0.354771661,0.03990554,0.798120377,0,0
0.235495844,0.002242612,0.283226233,0.368194102,0.014619153,0.037954733,1.6491E-05,0.000295544,0.000295544,0.368430537,0.040197345,0.790178947,0,0
0.245495844,0.002429074,0.293724904,0.381842376,0.015819301,0.038071183,1.79161E-05,0.000308892,0.000308892,0.382089489,0.040500258,0.782316535,0,0
0.255495844,0.002622271,0.304223576,0.395490649,0.017060908,0.038192028,1.94008E-05,0.000322339,0.000322339,0.39574852,0.040814299,0.774532355,0,0
0.265495844,0.0028222,0.314722248,0.409138922,0.018343839,0.038317292,2.09455E-05,0.000335888,0.000335888,0.409407632,0.041139492,0.76682563,0,0
0.275495844,0.003028856,0.325220919,0.422787195,0.019667955,0.038447003,2.25504E-05,0.000349543,0.000349543,0.423066829,0.041475859,0.759195587,0,0
