time,Dendrite passive:1,Input signal,Gain:1,Na prefilter:1,Pulse,Dendrite NL,Soma NL prefilter out,Soma after passive,Vs,Soma input,Input + Vs,Vd,Integrator1:1,Spike Output
0,0,0,0,0,0,0.036564157,0,0,0,0,0,0.036564157,0,0
0.000200951,2.47983E-09,0.0002598,0.000493621,1.65319E-08,0,0.036564158,2.91412E-14,8.70122E-10,8.70122E-10,0.000259803,0.000493621,0.036564161,0,0
0.001205705,8.92729E-08,0.001558802,0.002961724,5.95085E-07,0,0.036564212,6.29381E-12,3.1325E-08,3.1325E-08,0.001558891,0.002961749,0.036564302,0,0
0.006229478,2.38295E-06,0.008053811,0.015302241,1.5877E-05,0,0.036565639,8.67573E-10,8.36291E-07,8.36291E-07,0.008056194,0.01530291,0.036568022,0,0
0.016229478,1.61722E-05,0.020982359,0.039866483,0.000107649,0,0.03657421,1.53246E-08,5.67744E-06,5.67744E-06,0.020998532,0.039871025,0.036590382,0,0
0.026229478,4.22363E-05,0.033910908,0.064430725,0.000280879,0,0.036590394,6.46204E-08,1.48324E-05,1.48324E-05,0.033953144,0.064442591,0.03663263,0,0
0.036229478,8.0571E-05,0.046839456,0.088994967,0.000535308,0,0.036614176,1.70103E-07,2.83039E-05,2.83039E-05,0.046920027,0.08901761,0.036694747,0,0
0.046229478,0.000131172,0.059768004,0.113559208,0.000870675,0,0.036645548,3.53027E-07,4.60944E-05,4.60944E-05,0.059899176,0.113596084,0.03677672,0,0
0.056229478,0.000194034,0.072696553,0.13812345,0.001286725,0,0.036684503,6.34556E-07,6.82068E-05,6.82068E-05,0.072890587,0.138178015,0.036878538,0,0
0.066229478,0.000269154,0.085625101,0.162687692,0.001783198,0,0.036731043,1.03576E-06,9.46436E-05,9.46436E-05,0.085894255,0.162763407,0.037000197,0,0
0.076229478,0.000356527,0.098553649,0.187251934,0.002359841,0,0.03678517,1.57761E-06,0.000125407,0.000125407,0.098910177,0.18735226,0.037141698,0,0
0.086229478,0.000456149,0.111482198,0.211816175,0.003016396,0,0.036846895,2.281E-06,0.000160501,0.000160501,0.111938346,0.211944576,0.037303044,0,0
0.096229478,0.000568014,0.124410746,0.236380417,0.003752611,0,0.036916231,3.16673E-06,0.000199927,0.000199927,0.12497876,0.236540359,0.037484245,0,0
0.106229478,0.00069189,0.136553716,0.259452061,0.004566698,0,0.03699305,4.25541E-06,0.000243607,0.000243607,0.137245606,0.259646946,0.03768494,0,0
0.116229478,0.000826885,0.148221199,0.281620278,0.005452519,0,0.037076817,5.56642E-06,0.000291233,0.000291233,0.149048084,0.281853265,0.037903703,0,0
0.126229478,0.000972915,0.159888682,0.303788495,0.006409295,0,0.037167505,7.11821E-06,0.000342779,0.000342779,0.160861596,0.304062719,0.03814042,0,0
0.136229478,0.001129974,0.171556165,0.325956713,0.0074368,0,0.037265141,8.92914E-06,0.000398247,0.000398247,0.172686138,0.32627531,0.038395115,0,0
0.146229478,0.001298059,0.183223647,0.34812493,0.00853481,0,0.037369757,1.10175E-05,0.000457638,0.000457638,0.184521706,0.348491041,0.038667815,0,0
0.156229478,0.001477165,0.19489113,0.370293147,0.0097031,0,0.037481386,1.34014E-05,0.000520957,0.000520957,0.196368296,0.370709913,0.038958552,0,0
0.166229478,0.00166729,0.206558613,0.392461365,0.010941448,0,0.03760007,1.6099E-05,0.000588204,0.000588204,0.208225903,0.392931928,0.03926736,0,0
0.176229478,0.001868429,0.218226096,0.414629582,0.012249629,0,0.037725849,1.91284E-05,0.000659383,0.000659383,0.220094525,0.415157088,0.039594278,0,0
0.186229478,0.002080578,0.229893579,0.436797799,0.013627423,0,0.03785877,2.25076E-05,0.000734495,0.000734495,0.231974156,0.437385395,0.039939348,0,0
0.196229478,0.002303732,0.241561061,0.458966017,0.015074609,0,0.037998884,2.62543E-05,0.000813543,0.000813543,0.243864794,0.459616851,0.040302617,0,0
0.206229478,0.002537676,0.252500436,0.479750828,0.016589545,0,0.038146106,3.03863E-05,0.000896455,0.000896455,0.255038112,0.480467992,0.040683782,0,0
0.216229478,0.002781585,0.262999108,0.499698304,0.018166556,0,0.038299958,3.49202E-05,0.000982945,0.000982945,0.265780692,0.50048466,0.041081543,0,0
0.226229478,0.003035378,0.273497779,0.519645781,0.019804934,0,0.038460446,3.98718E-05,0.001072988,0.001072988,0.276533157,0.520504171,0.041495824,0,0
0.236229478,0.003299052,0.283996451,0.539593257,0.021504486,0,0.038627628,4.52566E-05,0.001166586,0.001166586,0.287295503,0.540526525,0.04192668,0,0
0.246229478,0.003572604,0.294495123,0.559540733,0.023265016,0,0.038801564,5.10902E-05,0.001263741,0.001263741,0.298067727,0.560551726,0.042374168,0,0
0.256229478,0.00385603,0.304993794,0.579488209,0.025086333,0,0.038982319,5.73883E-05,0.001364456,0.001364456,0.308849825,0.580579774,0.04283835,0,0
0.266229478,0.004149327,0.315492466,0.599435685,0.026968242,0,0.039169961,6.41661E-05,0.001468732,0.001468732,0.319641793,0.600610671,0.043319288,0,0
0.276229478,0.004452491,0.325991138,0.619383161,0.028910552,0,0.039364559,7.1439E-05,0.001576572,0.001576572,0.330443628,0.620644419,0.04381705,0,0
0.286229478,0.004765518,0.336489809,0.639330638,0.030913071,0,0.039566189,7.92225E-05,0.001687977,0.001687977,0.341255327,0.640681019,0.044331707,0,0
0.296229478,0.005088405,0.346988481,0.659278114,0.032975608,0,0.039774927,8.75316E-05,0.001802951,0.001802951,0.352076886,0.660720474,0.044863332,0,0
0.306229478,0.005420951,0.356812777,0.677944276,0.035096658,0,0.03999072,9.63817E-05,0.001921425,0.001921425,0.362233728,0.679481416,0.045411671,0,0
0.316229478,0.005762393,0.366228893,0.695834896,0.037270977,0,0.040213131,0.000105787,0.002043135,0.002043135,0.371991286,0.697469404,0.045975524,0,0
0.326229478,0.006112657,0.375645008,0.713725516,0.039497925,0,0.04044219,0.00011576,0.002168057,0.002168057,0.381757666,0.715459962,0.046554847,0,0
0.336229478,0.00647174,0.385061124,0.731616136,0.041777335,0,0.040677978,0.000126314,0.002296195,0.002296195,0.391532864,0.733453092,0.047149718,0,0
0.346229478,0.006839638,0.39447724,0.749506756,0.044109042,0,0.040920579,0.000137463,0.002427549,0.002427549,0.401316877,0.751448795,0.047760216,0,0
0.356229478,0.007216348,0.403893356,0.767397376,0.046492879,0,0.041170078,0.000149219,0.002562122,0.002562122,0.411109703,0.769447073,0.048386426,0,0
0.366229478,0.007601867,0.413309471,0.785287996,0.048928681,0,0.041426566,0.000161596,0.002699915,0.002699915,0.420911339,0.787447928,0.049028433,0,0
0.376229478,0.007996193,0.422725587,0.803178616,0.051416286,0,0.041690134,0.000174607,0.00284093,0.00284093,0.43072178,0.80545136,0.049686327,0,0
