time,Dendrite passive:1,Input signal,Gain:1,Na prefilter:1,Pulse,Dendrite NL,Soma NL prefilter out,Soma after passive,Vs,Soma input,Input + Vs,Vd,Integrator1:1,Spike Output
0,0,0,0,0,0,0.036564157,0,0,0,0,0,0.036564157,0,0
0.000200951,1.30518E-09,0.0002598,0.0002598,8.70101E-09,0,0.036564158,2.91411E-14,8.7012E-10,8.7012E-10,0.000259802,0.000259801,0.036564159,0,0
0.001205705,4.6986E-08,0.001558802,0.001558802,3.13204E-07,0,0.036564186,6.29372E-12,3.13245E-08,3.13245E-08,0.001558849,0.001558827,0.036564233,0,0
0.006229478,1.25422E-06,0.008053811,0.008053811,8.35652E-06,0,0.036564937,8.67512E-10,8.36213E-07,8.36213E-07,0.008055065,0.00805448,0.036566191,0,0
0.016229478,8.51224E-06,0.020982359,0.020982359,5.66614E-05,0,0.036569448,1.53218E-08,5.67606E-06,5.67606E-06,0.020990872,0.0209869,0.03657796,0,0
0.026229478,2.22321E-05,0.033910908,0.033910908,0.000147848,0,0.036577965,6.46013E-08,1.48266E-05,1.48266E-05,0.03393314,0.033922769,0.036600197,0,0
0.036229478,4.24123E-05,0.046839456,0.046839456,0.000281784,0,0.036590478,1.70034E-07,2.82885E-05,2.82885E-05,0.046881868,0.046862087,0.036632891,0,0
0.046229478,6.90513E-05,0.059768004,0.059768004,0.000458339,0,0.03660698,3.52844E-07,4.60625E-05,4.60625E-05,0.059837056,0.059804854,0.036676032,0,0
0.056229478,0.000102148,0.072696553,0.072696553,0.000677384,0,0.036627463,6.34155E-07,6.81494E-05,6.81494E-05,0.0727987,0.072751072,0.036729611,0,0
0.066229478,0.0001417,0.085625101,0.085625101,0.000938787,0,0.036651923,1.03499E-06,9.45498E-05,9.45498E-05,0.085766801,0.085700741,0.036793622,0,0
0.076229478,0.000187706,0.098553649,0.098553649,0.001242421,0,0.036680353,1.57626E-06,0.000125264,0.000125264,0.098741355,0.098653861,0.036868059,0,0
0.086229478,0.000240165,0.111482198,0.111482198,0.001588154,0,0.036712752,2.27879E-06,0.000160294,0.000160294,0.111722363,0.111610433,0.036952918,0,0
0.096229478,0.000299076,0.124410746,0.124410746,0.00197586,0,0.036749119,3.1633E-06,0.000199639,0.000199639,0.124709822,0.124570457,0.037048194,0,0
0.106229478,0.000364315,0.136553716,0.136553716,0.002404602,0,0.036789375,4.25033E-06,0.00024322,0.00024322,0.136918031,0.136748292,0.037153691,0,0
0.116229478,0.000435416,0.148221199,0.148221199,0.002871156,0,0.036833232,5.55915E-06,0.000290727,0.000290727,0.148656615,0.148453781,0.037268648,0,0
0.126229478,0.000512333,0.159888682,0.159888682,0.003375115,0,0.036880663,7.10811E-06,0.000342131,0.000342131,0.160401015,0.160162387,0.037392996,0,0
0.136229478,0.000595066,0.171556165,0.171556165,0.003916366,0,0.03693167,8.91545E-06,0.000397433,0.000397433,0.17215123,0.171874111,0.037526736,0,0
0.146229478,0.000683612,0.183223647,0.183223647,0.004494796,0,0.036986259,1.09993E-05,0.000456634,0.000456634,0.183907259,0.183588955,0.03766987,0,0
0.156229478,0.00077797,0.19489113,0.19489113,0.00511029,0,0.037044432,1.33778E-05,0.000519734,0.000519734,0.195669101,0.195306917,0.037822403,0,0
0.166229478,0.00087814,0.206558613,0.206558613,0.005762736,0,0.037106197,1.60689E-05,0.000586734,0.000586734,0.207436753,0.207028,0.037984338,0,0
0.176229478,0.00098412,0.218226096,0.218226096,0.006452021,0,0.03717156,1.90904E-05,0.000657634,0.000657634,0.219210216,0.218752203,0.03815568,0,0
0.186229478,0.001095908,0.229893579,0.229893579,0.007178033,0,0.037240529,2.24602E-05,0.000732436,0.000732436,0.230989487,0.230479527,0.038336437,0,0
0.196229478,0.001213503,0.241561061,0.241561061,0.00794066,0,0.037313112,2.6196E-05,0.000811139,0.000811139,0.242774564,0.242209973,0.038526615,0,0
0.206229478,0.001336792,0.252500436,0.252500436,0.008739044,0,0.037389247,3.03154E-05,0.00089367,0.00089367,0.253837228,0.253215372,0.038726039,0,0
